Response Id,You regularly make new friends.,You spend a lot of your free time exploring various random topics that pique your interest,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"You usually stay calm, even under a lot of pressure","At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You are very sentimental.,You like to use organizing tools like schedules and lists.,Even a small mistake can cause you to doubt your overall abilities and knowledge.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You are not too interested in discussing various interpretations and analyses of creative works.,You are more inclined to follow your head than your heart.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You rarely worry about whether you make a good impression on people you meet.,Personality,image
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,7,60372276
1,0,0,-2,-3,-1,2,-2,0,3,0,-2,0,-2,1,1,13,9306416
2,0,0,2,0,-1,2,0,0,1,0,0,1,-1,0,0,4,90354327
3,0,-1,3,-1,0,0,-2,0,-2,0,2,-1,-1,1,-1,12,99239451
4,0,0,-1,0,2,-1,-2,0,1,0,0,-1,-1,0,-1,6,39277498
5,0,0,1,0,1,-2,-1,0,2,1,1,-1,-1,1,3,0,89326463
6,0,0,-2,0,-1,1,-2,0,1,1,-1,1,-1,1,0,13,59302915
7,0,0,-3,0,-1,0,-2,0,0,0,0,0,0,-1,-1,0,19175957
8,0,0,-2,1,-2,1,-1,0,2,0,-1,0,-2,-2,0,2,9186126
9,0,-1,0,0,-1,2,1,0,-2,0,2,1,0,2,2,15,69241097
10,0,0,-1,3,2,1,2,0,-1,0,3,1,0,1,1,7,19166180
11,-1,0,0,1,-3,-1,-2,0,-3,0,-3,-2,1,3,-2,6,9302913
12,0,0,-1,-1,1,1,-1,0,-1,0,-2,-1,1,-2,-1,5,70284203
13,0,0,-1,1,-2,0,-1,0,0,0,1,-2,0,0,-2,0,79012991
14,0,0,-1,-2,-2,0,-1,0,1,0,-1,-1,2,-1,-1,1,9149879
15,0,0,-1,0,-2,-1,1,0,0,0,0,3,-1,2,-2,4,9324284
16,0,0,-2,2,-2,1,-2,0,2,0,-2,0,-2,0,-2,15,29241160
17,0,0,0,-2,0,2,-2,-1,1,0,-1,0,2,1,0,2,70340567
18,0,0,1,-2,-1,2,1,0,1,0,0,0,-3,1,-1,4,80362974
19,0,0,-1,0,2,0,1,0,1,0,0,-2,2,-2,1,12,99302918
20,0,0,-1,-2,2,3,0,0,1,0,0,2,2,-3,-1,2,79150746
21,0,0,1,-2,2,2,0,0,1,0,-1,0,3,-1,1,12,9278003
22,-1,0,2,-2,-3,-2,0,0,1,0,1,-2,2,-1,1,8,79902935
23,0,0,0,0,-1,-2,0,0,-1,1,1,2,-2,2,1,4,29278158
24,0,0,-1,2,0,1,2,0,-2,0,0,1,2,-2,0,7,29277639
25,0,0,0,0,-2,-1,-1,0,-2,0,-1,1,0,1,-1,3,60116960
26,0,0,0,2,-2,-3,-1,0,1,0,-1,1,0,2,1,3,89386070
27,0,0,3,0,-1,-2,-2,0,2,0,3,0,1,3,0,6,59297481
28,0,1,-2,-1,-1,2,-2,0,2,1,-1,0,0,2,1,13,19290014
29,0,0,-2,-2,1,0,-1,0,-1,1,-2,0,0,-1,1,9,90349326
30,0,-1,1,3,-3,-1,0,1,2,0,2,-1,0,1,1,3,9306435
31,0,0,0,0,1,1,-2,0,0,0,2,0,1,-1,0,10,49278341
32,0,0,0,1,0,0,-1,0,2,0,-2,2,-1,2,2,3,89278481
33,0,0,-1,-2,1,0,0,0,-2,0,-2,-1,0,-2,0,10,20228709
34,0,1,0,-1,-1,1,3,0,-2,0,-2,-1,-1,-1,0,14,9241420
35,0,0,3,-1,1,-1,0,0,2,0,2,0,1,1,2,8,40411410
36,0,-1,2,-1,1,1,0,0,2,0,-1,-2,1,-1,1,12,59277652
37,0,0,-2,1,0,-2,0,0,3,0,-2,2,-1,3,1,3,59266074
38,0,0,3,1,-2,0,-1,0,2,0,2,-1,-1,0,0,0,29291956
39,0,0,1,-1,-1,-1,0,0,1,0,2,-2,0,1,-1,12,99239451
40,0,-1,-2,1,2,1,-2,0,0,0,-1,-1,-2,-3,-1,0,10453086
41,1,0,-1,-1,-2,-2,-2,0,1,0,-2,-2,0,-2,-1,1,89300750
42,-1,0,1,1,2,0,0,0,-2,-1,1,2,-1,2,-2,11,20400691
43,0,1,0,0,0,-2,-2,0,1,0,-2,2,-1,3,-1,15,19302917
44,0,0,0,0,2,1,0,-1,-1,0,-1,0,-2,-1,0,14,228705
45,0,0,-2,0,-1,1,0,0,-1,0,-1,0,1,0,0,6,29257066
46,0,0,2,0,-1,-2,-3,0,0,0,2,-2,-2,1,0,12,99302918
47,0,0,-1,-1,1,-1,-2,0,0,1,-1,1,-1,0,-2,10,99302975
48,0,0,-1,0,-1,0,-1,0,2,0,-1,1,-1,0,0,13,69278415
49,0,0,-2,-2,3,3,2,0,0,0,-2,3,0,-2,0,11,40349847
50,0,0,1,-3,0,0,-1,0,1,0,-2,0,-1,-2,0,8,29278101
51,0,0,0,1,3,1,-1,0,0,0,-2,1,-1,0,-1,10,49306443
52,0,0,-2,0,0,0,-2,0,0,0,1,0,-2,-3,-1,10,99280884
53,0,-1,1,1,0,-2,2,0,1,0,1,1,2,0,-1,9,89302914
54,1,0,0,-2,-1,2,0,0,1,1,-1,3,-2,1,1,15,29285521
55,0,0,3,1,-3,0,1,0,-1,0,0,-1,0,3,1,7,19290603
56,0,0,-2,0,2,1,-3,1,-2,0,2,1,1,2,0,11,89240761
57,0,0,1,-1,-3,-1,-3,0,1,0,0,-1,2,0,3,12,9278003
58,0,0,-2,-2,-1,1,-1,0,-2,0,-2,0,-1,-1,-2,3,60116960
59,0,0,-2,-2,2,0,0,0,-3,0,0,-1,1,-1,-1,5,400692
60,0,0,2,2,2,-2,-1,0,-3,0,-2,-1,-2,2,2,7,39266008
61,0,0,1,-2,-1,0,-2,0,0,0,-2,-1,0,1,1,13,9306416
62,0,0,-1,3,-1,-2,-2,0,-1,0,2,1,0,1,3,1,19285588
63,0,0,2,-1,-1,2,-1,0,2,0,0,1,0,-1,1,4,39266094
64,0,0,1,3,-1,-2,0,0,1,0,-1,1,-1,-1,1,3,89386070
65,0,0,-1,0,1,1,-3,0,1,0,-1,0,-3,-2,1,0,19129932
66,0,0,0,1,-2,2,0,0,-1,0,-1,3,0,3,0,15,39277196
67,0,0,2,1,2,0,-2,0,-1,0,-1,-1,0,0,0,7,60372276
68,0,0,1,3,-1,-1,1,0,1,0,0,-1,1,-1,0,9,49278591
69,0,1,-1,1,0,1,2,0,3,0,-1,0,-1,-1,2,12,59277652
70,0,0,2,0,0,2,1,0,2,0,-3,0,2,1,1,12,99239451
71,-1,0,-1,1,0,-1,-2,0,2,0,-1,2,2,2,1,6,39277498
72,0,0,3,0,0,1,-1,0,3,0,0,-1,0,2,0,14,9217849
73,0,0,0,-2,-1,-1,-2,0,3,0,-2,-1,1,-2,-2,2,9278569
74,0,0,2,-1,-3,2,-2,1,0,0,-3,0,1,-1,-2,5,49292686
75,0,0,3,1,0,0,-1,0,1,0,-1,-2,-1,0,2,8,9306355
76,0,0,-2,-3,-1,-3,-2,0,2,0,1,-2,-2,-1,-2,0,29266184
77,0,0,-2,2,1,1,-1,0,-1,0,0,-1,-2,2,-3,10,49278341
78,0,0,0,0,-1,1,1,0,-3,0,1,2,3,1,0,7,19166180
79,0,0,-2,3,-2,-2,0,0,-2,0,-1,0,0,0,-3,6,9302913
80,0,0,0,-3,3,2,2,-1,0,0,0,-1,0,-1,2,12,99302918
81,0,0,1,1,1,-1,-2,-1,-2,0,2,0,-1,1,2,1,9149879
82,0,0,-1,-2,-2,1,0,0,-2,0,0,1,-1,1,-1,15,69241097
83,0,0,-1,-2,-2,3,0,0,-2,0,1,2,1,-2,-2,10,20228709
84,0,0,2,0,1,0,0,0,1,0,3,1,1,2,0,6,59297481
85,0,0,2,-2,0,2,0,0,-2,0,-3,1,-1,-2,0,10,99302975
86,0,0,-1,1,-2,0,1,0,-2,1,0,-2,-1,1,1,3,9306435
87,0,0,0,3,-1,0,-1,0,1,0,0,3,2,-2,0,13,59302915
88,0,0,0,0,0,-2,0,0,2,0,-1,1,-2,2,-1,15,29241160
89,0,0,0,1,1,-2,0,0,-3,0,1,1,1,2,-1,1,89300750
90,-1,0,-1,-2,1,2,1,0,0,0,1,1,2,-1,-2,10,49306443
91,0,0,1,2,2,-3,-1,0,-2,0,2,-3,1,0,0,1,19285588
92,0,0,-1,2,0,-3,-1,0,1,0,0,1,-1,1,1,3,89278481
93,0,0,-1,-1,0,1,-1,1,1,0,-2,2,2,-2,1,10,99280884
94,0,0,-1,2,-2,-2,-1,0,2,0,-1,0,-2,-1,2,0,69297471
95,0,0,0,1,-2,-1,1,0,0,0,-2,-1,1,-3,-1,9,20249896
96,0,0,3,2,-1,1,2,0,0,-1,2,-1,-3,-1,1,4,90354327
97,1,0,-3,-1,0,2,2,0,-1,0,-3,2,1,0,-1,2,9186126
98,0,0,-1,-1,-2,1,0,0,0,0,-1,2,-3,1,0,15,19302917
99,1,0,-2,1,3,-1,-1,0,-1,0,1,-1,-1,-2,-3,0,89326463
100,0,0,-1,0,0,2,1,0,0,0,-3,1,2,0,1,2,70340567
101,0,0,0,0,-2,-2,-2,0,0,0,1,-1,-2,2,1,12,9278003
102,0,0,0,-2,-1,1,0,0,0,0,0,1,3,-1,0,10,49278341
103,0,0,-2,1,0,0,-1,0,0,0,1,-2,-1,0,-3,0,19175957
104,0,0,0,1,1,-1,-1,0,2,1,0,-1,-2,0,-1,14,60431563
105,-1,1,3,-1,-2,3,-2,0,2,0,-1,1,0,-3,1,13,19290014
106,0,0,1,1,1,1,-1,0,0,0,0,-1,-1,0,2,8,39292465
107,0,0,-2,0,-2,2,-1,0,1,0,2,1,-2,0,0,13,69278415
108,0,0,2,-2,2,3,-2,0,1,0,1,2,-1,-1,1,8,79902935
109,0,0,-1,-1,-2,-1,-1,0,0,0,0,0,-3,0,3,13,9306416
110,0,1,-2,-1,-1,-1,2,0,-1,0,-1,-1,0,-2,0,10,20228709
111,1,0,0,0,1,-2,-3,0,1,0,2,2,2,0,-1,6,29257066
112,0,0,1,2,1,-1,0,0,0,0,2,2,-3,0,0,11,29277724
