Response Id,You regularly make new friends.,You spend a lot of your free time exploring various random topics that pique your interest,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"You usually stay calm, even under a lot of pressure","At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You are very sentimental.,You like to use organizing tools like schedules and lists.,Even a small mistake can cause you to doubt your overall abilities and knowledge.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You are not too interested in discussing various interpretations and analyses of creative works.,You are more inclined to follow your head than your heart.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You rarely worry about whether you make a good impression on people you meet.,Personality,image
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,7,39129342
1,0,0,-2,-3,-1,2,-2,0,3,0,-2,0,-2,1,1,13,40472861
2,0,0,2,0,-1,2,0,0,1,0,0,1,-1,0,0,4,90320097
3,0,-1,3,-1,0,0,-2,0,-2,0,2,-1,-1,1,-1,12,40455649
4,0,0,-1,0,2,-1,-2,0,1,0,0,-1,-1,0,-1,6,10219178
5,0,0,1,0,1,-2,-1,0,2,1,1,-1,-1,1,3,0,70392542
6,0,0,-2,0,-1,1,-2,0,1,1,-1,1,-1,1,0,13,50039552
7,0,0,-3,0,-1,0,-2,0,0,0,0,0,0,-1,-1,0,80155205
8,0,0,-2,1,-2,1,-1,0,2,0,-1,0,-2,-2,0,2,50434312
9,0,-1,0,0,-1,2,1,0,-2,0,2,1,0,2,2,15,50341025
10,0,0,-1,3,2,1,2,0,-1,0,3,1,0,1,1,7,39201026
11,-1,0,0,1,-3,-1,-2,0,-3,0,-3,-2,1,3,-2,6,90342688
12,0,0,-1,-1,1,1,-1,0,-1,0,-2,-1,1,-2,-1,5,50078464
13,0,0,-1,1,-2,0,-1,0,0,0,1,-2,0,0,-2,0,262879
14,0,0,-1,-2,-2,0,-1,0,1,0,-1,-1,2,-1,-1,1,20456956
