Response Id,You regularly make new friends.,You spend a lot of your free time exploring various random topics that pique your interest,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"You usually stay calm, even under a lot of pressure","At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You are very sentimental.,You like to use organizing tools like schedules and lists.,Even a small mistake can cause you to doubt your overall abilities and knowledge.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You are not too interested in discussing various interpretations and analyses of creative works.,You are more inclined to follow your head than your heart.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You rarely worry about whether you make a good impression on people you meet.,Personality,image
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,7,90214308
1,0,0,-2,-3,-1,2,-2,0,3,0,-2,0,-2,1,1,13,90442824
2,0,0,2,0,-1,2,0,0,1,0,0,1,-1,0,0,4,30381183
3,0,-1,3,-1,0,0,-2,0,-2,0,2,-1,-1,1,-1,12,30339735
4,0,0,-1,0,2,-1,-2,0,1,0,0,-1,-1,0,-1,6,60214183
5,0,0,1,0,1,-2,-1,0,2,1,1,-1,-1,1,3,0,30213076
6,0,0,-2,0,-1,1,-2,0,1,1,-1,1,-1,1,0,13,80430746
7,0,0,-3,0,-1,0,-2,0,0,0,0,0,0,-1,-1,0,30180504
8,0,0,-2,1,-2,1,-1,0,2,0,-1,0,-2,-2,0,2,60322130
9,0,-1,0,0,-1,2,1,0,-2,0,2,1,0,2,2,15,250249
10,0,0,-1,3,2,1,2,0,-1,0,3,1,0,1,1,7,80214549
11,-1,0,0,1,-3,-1,-2,0,-3,0,-3,-2,1,3,-2,6,60214183
12,0,0,-1,-1,1,1,-1,0,-1,0,-2,-1,1,-2,-1,5,30465489
13,0,0,-1,1,-2,0,-1,0,0,0,1,-2,0,0,-2,0,30213076
14,0,0,-1,-2,-2,0,-1,0,1,0,-1,-1,2,-1,-1,1,9903014
15,0,0,-1,0,-2,-1,1,0,0,0,0,3,-1,2,-2,4,30302299
16,0,0,-2,2,-2,1,-2,0,2,0,-2,0,-2,0,-2,15,60150176
17,0,0,0,-2,0,2,-2,-1,1,0,-1,0,2,1,0,2,90180025
18,0,0,1,-2,-1,2,1,0,1,0,0,0,-3,1,-1,4,30381183
19,0,0,-1,0,2,0,1,0,1,0,0,-2,2,-2,1,12,70245339
20,0,0,-1,-2,2,3,0,0,1,0,0,2,2,-3,-1,2,60322130
21,0,0,1,-2,2,2,0,0,1,0,-1,0,3,-1,1,12,30339735
22,-1,0,2,-2,-3,-2,0,0,1,0,1,-2,2,-1,1,8,60214159
23,0,0,0,0,-1,-2,0,0,-1,1,1,2,-2,2,1,4,30302299
24,0,0,-1,2,0,1,2,0,-2,0,0,1,2,-2,0,7,90214308
25,0,0,0,0,-2,-1,-1,0,-2,0,-1,1,0,1,-1,3,90278277
26,0,0,0,2,-2,-3,-1,0,1,0,-1,1,0,2,1,3,70455412
27,0,0,3,0,-1,-2,-2,0,2,0,3,0,1,3,0,6,60214183
28,0,1,-2,-1,-1,2,-2,0,2,1,-1,0,0,2,1,13,90442824
29,0,0,-2,-2,1,0,-1,0,-1,1,-2,0,0,-1,1,9,80213074
30,0,-1,1,3,-3,-1,0,1,2,0,2,-1,0,1,1,3,90278277
31,0,0,0,0,1,1,-2,0,0,0,2,0,1,-1,0,10,30374413
32,0,0,0,1,0,0,-1,0,2,0,-2,2,-1,2,2,3,90278277
33,0,0,-1,-2,1,0,0,0,-2,0,-2,-1,0,-2,0,10,70299959
34,0,1,0,-1,-1,1,3,0,-2,0,-2,-1,-1,-1,0,14,80221352
35,0,0,3,-1,1,-1,0,0,2,0,2,0,1,1,2,8,10234942
36,0,-1,2,-1,1,1,0,0,2,0,-1,-2,1,-1,1,12,70245339
37,0,0,-2,1,0,-2,0,0,3,0,-2,2,-1,3,1,3,70455412
38,0,0,3,1,-2,0,-1,0,2,0,2,-1,-1,0,0,0,30180504
39,0,0,1,-1,-1,-1,0,0,1,0,2,-2,0,1,-1,12,30339735
40,0,-1,-2,1,2,1,-2,0,0,0,-1,-1,-2,-3,-1,0,30213076
41,1,0,-1,-1,-2,-2,-2,0,1,0,-2,-2,0,-2,-1,1,70367444
42,-1,0,1,1,2,0,0,0,-2,-1,1,2,-1,2,-2,11,90363223
43,0,1,0,0,0,-2,-2,0,1,0,-2,2,-1,3,-1,15,250249
44,0,0,0,0,2,1,0,-1,-1,0,-1,0,-2,-1,0,14,20359984
45,0,0,-2,0,-1,1,0,0,-1,0,-1,0,1,0,0,6,60214183
46,0,0,2,0,-1,-2,-3,0,0,0,2,-2,-2,1,0,12,70245339
47,0,0,-1,-1,1,-1,-2,0,0,1,-1,1,-1,0,-2,10,30374413
48,0,0,-1,0,-1,0,-1,0,2,0,-1,1,-1,0,0,13,80430746
49,0,0,-2,-2,3,3,2,0,0,0,-2,3,0,-2,0,11,90363223
50,0,0,1,-3,0,0,-1,0,1,0,-2,0,-1,-2,0,8,60214159
51,0,0,0,1,3,1,-1,0,0,0,-2,1,-1,0,-1,10,70299959
52,0,0,-2,0,0,0,-2,0,0,0,1,0,-2,-3,-1,10,30374413
53,0,-1,1,1,0,-2,2,0,1,0,1,1,2,0,-1,9,60447677
54,1,0,0,-2,-1,2,0,0,1,1,-1,3,-2,1,1,15,60150176
