Response Id,You regularly make new friends.,You spend a lot of your free time exploring various random topics that pique your interest,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"You usually stay calm, even under a lot of pressure","At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You are very sentimental.,You like to use organizing tools like schedules and lists.,Even a small mistake can cause you to doubt your overall abilities and knowledge.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You are not too interested in discussing various interpretations and analyses of creative works.,You are more inclined to follow your head than your heart.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You rarely worry about whether you make a good impression on people you meet.,Personality,image
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,7,49246468
1,0,0,-2,-3,-1,2,-2,0,3,0,-2,0,-2,1,1,13,69128567
2,0,0,2,0,-1,2,0,0,1,0,0,1,-1,0,0,4,441758
3,0,-1,3,-1,0,0,-2,0,-2,0,2,-1,-1,1,-1,12,40400478
4,0,0,-1,0,2,-1,-2,0,1,0,0,-1,-1,0,-1,6,29385672
5,0,0,1,0,1,-2,-1,0,2,1,1,-1,-1,1,3,0,19323929
6,0,0,-2,0,-1,1,-2,0,1,1,-1,1,-1,1,0,13,49324946
7,0,0,-3,0,-1,0,-2,0,0,0,0,0,0,-1,-1,0,19127297
8,0,0,-2,1,-2,1,-1,0,2,0,-1,0,-2,-2,0,2,439468
9,0,-1,0,0,-1,2,1,0,-2,0,2,1,0,2,2,15,80437234
10,0,0,-1,3,2,1,2,0,-1,0,3,1,0,1,1,7,298128
11,-1,0,0,1,-3,-1,-2,0,-3,0,-3,-2,1,3,-2,6,39127710
12,0,0,-1,-1,1,1,-1,0,-1,0,-2,-1,1,-2,-1,5,60375133
13,0,0,-1,1,-2,0,-1,0,0,0,1,-2,0,0,-2,0,29324711
14,0,0,-1,-2,-2,0,-1,0,1,0,-1,-1,2,-1,-1,1,50422494
15,0,0,-1,0,-2,-1,1,0,0,0,0,3,-1,2,-2,4,69127493
16,0,0,-2,2,-2,1,-2,0,2,0,-2,0,-2,0,-2,15,59328897
17,0,0,0,-2,0,2,-2,-1,1,0,-1,0,2,1,0,2,59324385
18,0,0,1,-2,-1,2,1,0,1,0,0,0,-3,1,-1,4,9324689
19,0,0,-1,0,2,0,1,0,1,0,0,-2,2,-2,1,12,79287612
20,0,0,-1,-2,2,3,0,0,1,0,0,2,2,-3,-1,2,439468
21,0,0,1,-2,2,2,0,0,1,0,-1,0,3,-1,1,12,29324320
22,-1,0,2,-2,-3,-2,0,0,1,0,1,-2,2,-1,1,8,10460888
23,0,0,0,0,-1,-2,0,0,-1,1,1,2,-2,2,1,4,441758
24,0,0,-1,2,0,1,2,0,-2,0,0,1,2,-2,0,7,59324248
25,0,0,0,0,-2,-1,-1,0,-2,0,-1,1,0,1,-1,3,80331973
26,0,0,0,2,-2,-3,-1,0,1,0,-1,1,0,2,1,3,99127608
27,0,0,3,0,-1,-2,-2,0,2,0,3,0,1,3,0,6,9325047
28,0,1,-2,-1,-1,2,-2,0,2,1,-1,0,0,2,1,13,19385677
29,0,0,-2,-2,1,0,-1,0,-1,1,-2,0,0,-1,1,9,59336270
30,0,-1,1,3,-3,-1,0,1,2,0,2,-1,0,1,1,3,89158214
31,0,0,0,0,1,1,-2,0,0,0,2,0,1,-1,0,10,49025589
32,0,0,0,1,0,0,-1,0,2,0,-2,2,-1,2,2,3,80331973
33,0,0,-1,-2,1,0,0,0,-2,0,-2,-1,0,-2,0,10,99329140
34,0,1,0,-1,-1,1,3,0,-2,0,-2,-1,-1,-1,0,14,40407922
35,0,0,3,-1,1,-1,0,0,2,0,2,0,1,1,2,8,39304128
36,0,-1,2,-1,1,1,0,0,2,0,-1,-2,1,-1,1,12,40400478
37,0,0,-2,1,0,-2,0,0,3,0,-2,2,-1,3,1,3,99127608
38,0,0,3,1,-2,0,-1,0,2,0,2,-1,-1,0,0,0,19323929
39,0,0,1,-1,-1,-1,0,0,1,0,2,-2,0,1,-1,12,79287612
40,0,-1,-2,1,2,1,-2,0,0,0,-1,-1,-2,-3,-1,0,19127297
41,1,0,-1,-1,-2,-2,-2,0,1,0,-2,-2,0,-2,-1,1,70439573
42,-1,0,1,1,2,0,0,0,-2,-1,1,2,-1,2,-2,11,50453758
43,0,1,0,0,0,-2,-2,0,1,0,-2,2,-1,3,-1,15,19303498
44,0,0,0,0,2,1,0,-1,-1,0,-1,0,-2,-1,0,14,30439476
45,0,0,-2,0,-1,1,0,0,-1,0,-1,0,1,0,0,6,29385672
46,0,0,2,0,-1,-2,-3,0,0,0,2,-2,-2,1,0,12,29324320
47,0,0,-1,-1,1,-1,-2,0,0,1,-1,1,-1,0,-2,10,49025589
48,0,0,-1,0,-1,0,-1,0,2,0,-1,1,-1,0,0,13,69128567
49,0,0,-2,-2,3,3,2,0,0,0,-2,3,0,-2,0,11,20305707
50,0,0,1,-3,0,0,-1,0,1,0,-2,0,-1,-2,0,8,59326469
51,0,0,0,1,3,1,-1,0,0,0,-2,1,-1,0,-1,10,99329140
52,0,0,-2,0,0,0,-2,0,0,0,1,0,-2,-3,-1,10,49025589
53,0,-1,1,1,0,-2,2,0,1,0,1,1,2,0,-1,9,10269696
54,1,0,0,-2,-1,2,0,0,1,1,-1,3,-2,1,1,15,80437234
55,0,0,3,1,-3,0,1,0,-1,0,0,-1,0,3,1,7,49246468
56,0,0,-2,0,2,1,-3,1,-2,0,2,1,1,2,0,11,29320732
57,0,0,1,-1,-3,-1,-3,0,1,0,0,-1,2,0,3,12,40400478
58,0,0,-2,-2,-1,1,-1,0,-2,0,-2,0,-1,-1,-2,3,89158214
59,0,0,-2,-2,2,0,0,0,-3,0,0,-1,1,-1,-1,5,89227873
60,0,0,2,2,2,-2,-1,0,-3,0,-2,-1,-2,2,2,7,298128
61,0,0,1,-2,-1,0,-2,0,0,0,-2,-1,0,1,1,13,49324946
62,0,0,-1,3,-1,-2,-2,0,-1,0,2,1,0,1,3,1,39329299
63,0,0,2,-1,-1,2,-1,0,2,0,0,1,0,-1,1,4,69127493
64,0,0,1,3,-1,-2,0,0,1,0,-1,1,-1,-1,1,3,80331973
65,0,0,-1,0,1,1,-3,0,1,0,-1,0,-3,-2,1,0,29324711
66,0,0,0,1,-2,2,0,0,-1,0,-1,3,0,3,0,15,59328897
67,0,0,2,1,2,0,-2,0,-1,0,-1,-1,0,0,0,7,59324248
68,0,0,1,3,-1,-1,1,0,1,0,0,-1,1,-1,0,9,9300103
69,0,1,-1,1,0,1,2,0,3,0,-1,0,-1,-1,2,12,79287612
70,0,0,2,0,0,2,1,0,2,0,-3,0,2,1,1,12,29324320
71,-1,0,-1,1,0,-1,-2,0,2,0,-1,2,2,2,1,6,39127710
